cluster,gene,auc,power
C2,UHRF1,0.648,0.296
C2,EBF3,0.49,0.02
C2,S100B,0.471,0.057
C2,CCDC30,0.611,0.221
C2,MLF2,0.654,0.307
C2,PPP1R10,0.418,0.164
C2,ARF1,0.501,0.003
C2,TRMT112,0.504,0.008
C2,APOL2,0.485,0.029
C2,NDUFS8,0.608,0.215
C2,MAP1LC3B2,0.458,0.084
C2,HK2,0.489,0.022
C2,WLS,0.57,0.14
C2,ATPIF1,0.535,0.071
C2,CIB1,0.589,0.178
C2,PGAM1,0.625,0.251
C2,CALM3,0.503,0.006
C2,TTYH1,0.7,0.401
C2,PKM,0.498,0.003
C2,BNIP3,0.541,0.082
C2,CDKN1A,0.512,0.024
C2,ALDOA,0.501,0.001
C2,SNAPC1,0.554,0.107
C2,WNT8B,0.479,0.043
C2,UQCR11,0.491,0.017
C2,PGK1,0.526,0.053
C2,TPBG,0.542,0.085
C2,SCD,0.539,0.077
C2,GUK1,0.522,0.045
C2,ATP1B2,0.484,0.032
C2,ZIC2,0.477,0.047
C2,PIFO,0.498,0.004
C2,UBBP4,0.46,0.081
C2,MAF,0.53,0.06
C2,CTGF,0.47,0.06
C2,GJA1,0.524,0.049
C2,MYL6,0.444,0.112
C2,NELL2,0.648,0.296
C2,ID3,0.544,0.087
C2,LPHN3,0.577,0.155
C2,IRS1,0.513,0.026
C2,C1orf168,0.507,0.015
C2,CTNNB1,0.549,0.098
C2,AXIN2,0.479,0.043
C2,SLIT2,0.588,0.175
C2,LRRN2,0.493,0.015
C2,NR2F2,0.545,0.091
C2,SLIT3,0.419,0.162
C2,DMD,0.46,0.079
C2,LRRIQ1,0.487,0.026
C2,SH3BGRL,0.678,0.356
C2,C6orf118,0.603,0.206
C2,COX6A1,0.432,0.137
C2,SPARC,0.501,0.002
C2,RSPO1,0.521,0.041
C2,HNRNPL,0.439,0.121
C2,APCDD1,0.487,0.026
C2,MARCKS,0.572,0.145
C2,HSBP1,0.561,0.122
C2,SULF2,0.527,0.055
C2,SLC7A8,0.451,0.099
C2,NR2F1,0.509,0.019
C2,CDH2,0.588,0.177
C2,CDK11A,0.605,0.21
C2,AEN,0.663,0.327
C2,DDIT4,0.737,0.474
C2,ERO1L,0.445,0.111
C2,EIF4EBP1,0.589,0.177
C2,ADM,0.53,0.061
C2,PGAM4,0.576,0.152
C2,GNL3,0.547,0.094
C2,FLRT2,0.358,0.285
C2,PDCD6,0.694,0.388
C2,GOLGA8A,0.524,0.047
C2,POLE2,0.692,0.384
C2,EIF4A1,0.57,0.14
C2,MFNG,0.532,0.065
C2,TPI1,0.455,0.091
C2,RAN,0.615,0.23
C2,DDIT3,0.403,0.194
C2,VEZF1,0.521,0.041
C2,UBE2J1,0.511,0.021
C2,C8orf46,0.588,0.176
C2,EGR1,0.358,0.284
C2,TMBIM6,0.471,0.057
C2,TRIM24,0.624,0.248
C2,HNRNPA1L2,0.66,0.32
C2,KANSL2,0.451,0.097
C2,GTF2I,0.576,0.152
C2,DAZAP2,0.502,0.003
C2,MIDN,0.523,0.046
C2,SLC38A2,0.452,0.097
C2,HNRNPA1,0.699,0.399
C2,CCT2,0.533,0.065
C2,NACA,0.627,0.253
C2,EIF5,0.535,0.07
C2,CHAC1,0.463,0.073
C2,DDX3X,0.633,0.266
C2,TCF12,0.582,0.163
C2,SRSF3,0.664,0.328
C2,ABCC9,0.504,0.007
C2,EPB41L4B,0.521,0.042
C2,ATF4,0.447,0.107
C2,NOVA2,0.508,0.016
C2,PCBP2,0.5,0.001
C2,EIF1,0.357,0.286
C2,ATP5G2,0.562,0.124
C2,ATP5B,0.517,0.034
C2,RND3,0.39,0.219
C2,BTG1,0.532,0.064
C2,RBM39,0.494,0.013
C2,DDX5,0.526,0.052
C2,CORO1C,0.494,0.012
